"bela kača z $ je kača najedla, $ je kača izginila, $ belo kačo prijazno",1
"majhne otroke. Hodila $ delat, otroke pa $ pridni. Otroci pa $ da otroci pripovedujejo",1
prejo. Ded je,0
"je mati hvalila, $ jest. Mati si $ naročje. Mati je $ je mati skočila",1
"premagati zmaja, bo $ gospoduje zmaj, bo $ zaslišal zmajev glas. $ nad zmaja. Vzamejo $ ujeti zmaj ubogo",-1
gnal pastir svojo $ brezskrbnih pastirjev se,1
vprašanje. Poglavar je $ lov. Poglavar je,1
"eno mačko; samo lino $ skoči mačka na lino $ mačja žival ne pusti,",-1
"k očetu domov. Večkrat $ K očetu bi šla rada, $ je imel kovačnico,",1
še pasjeglavci po $ s pasjeglavci zmenjeni. Daj mački $ pasjeglavci pridejo domov in,-1
"lepa deklica sama $ dir. Deklica je vedela, $ bilo deklico strah. Nekoč",1
"nagovori dedec. K $ reče dedec. Vem,",0
"šele volk: »Hej, $ menil volk. Sla $ zajca, volk pa $ prijel volka, se $ tudi volkov ni $ ne?« Volk pa",0
"in medved ter $ začudenemu medvedu pod $ vzdihnil medved. Zajec $ spal, medved pa $ je medved ojunačil $ je medved izpustil $ stisnil medved, ko $ ovsu. Medved je $ oves!« Medved je $ spočijva.« Medved je $ zajčka. Medved se $ njem. Medved je",-1
"tudi zajec in $ moj!« Zajec je $ sapo, zajec pa $ smrčal, zajec tudi. $ je zajca in $ premagal zajec« »Dveh $ videl zajca, volk $ z zajcem govoril $ pokazati zajca. Zato $ pritekla. Zajec je $ medved. Zajec je $ tudi. Zajec je $ junaka zajčka. Medved",1
"žalost kralja in $ pred kralja, ker $ kraljičino. Kralj ga",1
"dan. Vile so $ gorske Vile. Rekle so: $ neka Vila: »Da,",0
ljubljeni oče. Zapustil,0
dela. Mlajši brat pravi,1
no starejši prav $ zapuščnina starejšemu. Šla $ je starejši brat mlajšemu:,-1
"nekakega gospoda, ki $ posveten gospod, bil $ le gospoda poprašava,",0
o kraljičini tiste $ se kraljičina bori $ bolno kraljičino. Kralj,1
"nekega kmeta, ki",1
"kakšna lisica, ki bi",-1
"star pastir, ki",-1
"tudi kobilica vam $ bila kobilica podkovana,",0
"rekel Anže tovarišu, $ je Anže vtaknil $ domačih: Anže s $ rekel Anže: »Počijva $ pašo. Anže mu $ reče Anže prijatelju, $ rekel Anže in $ rekel Anže: »Le $ rekel Anže. »Ubogajva $ vzkliknil Anže, »piška $ bil Anže na straži, $ je Anžeta minil strah, $ kosilo. Anže in njegov",0
ubog berač z $ rekel berač. »Najbolje,-1
"vzela ježa! se $ ježka. Jež pa $ no, ježek! Pravi $ sinu ježek, že $ v ježka. Jež $ tudi ježek-Janček odšel $ hruško, ježek-Janček pa $ ti, ježek? ga $ odgovori ježek-Janček, ker $ gozda. Ježek mu $ dan Janček-ježek že $ kriči Janček-ježek pred $ pride ježek. Zato $ revček ježek. Na $ z ježkom vred $ zdaj ježek na $ ženina Jančka-ježka na $ se ježek-Janček strese $ petelin. Ježek-Janček to",1
 Mati mesi $ Pravi mati nejevolna. $ Komaj mati reče,0
nekoč grof na $ hruško. Grof počiva $ vpraša grof. Zakaj,0
oglasi najstarejša zaničljivo. - $ pravi najstarejša najmlajši,-1
de druga in $ pristavi druga. Janček,-1
pravi najmlajša. Grof,1
Malemu Jožku se $ silil Joško. »Jih $ branil Joško. »Kdo $ lastavica. Joško je $ pa Jošku preveč $ Toda Joško je $ — Joško se,0
rekla lastavica. »Ti $ odgovarjala lastavica. »Pojdi!« $ smejala lastavica. Joško $ smejala lastavica. Zdaj,-1
"da muce zelo $ se! Muce predejo $ drži. Muca ve,",1
"in očetu. Tako $ objemala,  oče $ zaskrbljena oče in",1
pokazala mami in $ je mami potisnila $ huje. Mama jo,1
te Urša pogleda,1
je Naska z $ je Naskin grobi $ Tašo. Naska je,1
K Taši je $ bila Taša zelo $ njej. Taša je,1
"pridrsala čarovnica, grda $ začula čarovnico, kako $ bilo. Čarovnica je $ zarenčala čarovnica, zajahala $ zlobna čarovnica vrže $ povili. Čarovnica je $ s čarovnico vred. $ spustili čarovnico v",-1
pomore. Lisica pa se,0
"oboroženih palčkov, da $ bilke malček-palček in $ toliko palčkov kot $ ugibali palčki, a $ so palčki izvolili",1
mlad zajček preko $ In zajček je,1
"mačko Mehkodlačko v $ mačko Mehkodlačko. Ko $ mačko Mehkodlačko naprej. $ mačko Mehkodlačko, da $ svojo muco in $ je muco in $ vzame muco v",0
" Barica je $ drago.« Barica vzame $ kobilic.« Barica vzame $ pot. Barica je $ pomore Barica in $ glavi. Barica se $ zapazila Barica kup $ obšla Barico strašna $ prestraši Barica ter $ petami. Barica pa $ mrgolela. Barica jih $ bi Barico ugrabila, $ a Barica je $ izvolili Barico, da",1
"staro mamico, a",0
živela babica. Bila $ je babica veselo $ vstopila babica. Hitro,1
od dedka in $ Ojoj! Dedek je $ vrata. Dedek je,1
in vnučkov. Odločila $ te vnučke nekega $ obiskali vnučki. Najedli,1
"torej graščaku, naj $ pride grašdak na $ pomagat. Graščak prime",1
"pošlje graščakinja kuharico $ pošlje gospa služabnika, $ začne graščakinjo skrbeti,",1
grajski pisar. Ali,1
"Grajska dekla jo $ gospa deklo, naj $ izpulit. Dekla gre",1
"tudi hlapca ni $ prime hlapca, hlapec $ za hlapca, hlapec",1
"graščakinja kuharico na $ pride kuharica na $ za kuharico, kuharica",1
"gospa služabnika, naj $ domov. Služabnik pride $ služabnika, služabnik za",1
prišla miška in,-1
zašepetal: »Mama!« Ko $ je mama skuhala $ z mamo obiral,1
živel starec. Sonja $ njim. Starec je $ pa starca ni,-1
deklica Sonja. Imela $ je Sonja priprla $ izbe. Sonja je,1
"kar Spominčica.« ln $ nate.« Spominčica je $ šopek spominčic, te",1
izrisala bolna gospa in,-1
le bled mladenič s,-1
peči. Utrujen moški je,-1
samo Čas. In $ je Čas izpljunil $ ukazal Čas. »To,0
